zHD MU_SH0ES
1.374499999999999889e-01 3.935110000000000241e+01
1.382200000000000095e-01 3.888569999999999993e+01
1.382599999999999940e-01 3.895029999999999859e+01
1.383999999999999952e-01 3.902289999999999992e+01
1.385099999999999942e-01 3.904010000000000247e+01
1.387500000000000122e-01 3.899989999999999668e+01
1.388000000000000067e-01 3.904670000000000130e+01
1.395500000000000074e-01 3.902129999999999654e+01
1.408200000000000007e-01 3.917750000000000199e+01
1.410399999999999987e-01 3.928349999999999653e+01
1.412299999999999944e-01 3.904070000000000107e+01
1.413399999999999934e-01 3.912369999999999948e+01
1.432499999999999885e-01 3.904699999999999704e+01
1.434499999999999942e-01 3.951539999999999964e+01
1.435899999999999954e-01 3.911350000000000193e+01
1.440400000000000014e-01 3.907560000000000144e+01
1.442299999999999971e-01 3.901599999999999824e+01
1.454199999999999937e-01 3.915180000000000149e+01
1.463800000000000101e-01 3.918569999999999709e+01
1.465200000000000113e-01 3.915800000000000125e+01
1.473700000000000010e-01 3.901539999999999964e+01
1.474699999999999900e-01 3.896719999999999828e+01
1.477100000000000080e-01 3.913400000000000034e+01
1.477799999999999947e-01 3.916100000000000136e+01
1.480299999999999949e-01 3.922849999999999682e+01
1.480599999999999972e-01 3.903820000000000334e+01
1.483399999999999996e-01 3.902389999999999759e+01
1.489800000000000013e-01 3.916060000000000230e+01
1.494000000000000050e-01 3.911039999999999850e+01
1.504999999999999949e-01 3.910580000000000211e+01
1.508400000000000019e-01 3.916870000000000118e+01
1.519500000000000017e-01 3.904769999999999897e+01
1.529099999999999904e-01 3.932390000000000185e+01
1.531800000000000106e-01 3.921750000000000114e+01
1.533599999999999963e-01 3.909909999999999997e+01
1.534099999999999908e-01 3.925639999999999930e+01
1.535700000000000121e-01 3.936390000000000100e+01
1.551099999999999979e-01 3.920759999999999934e+01
1.552600000000000091e-01 3.927799999999999869e+01
1.553599999999999981e-01 3.939939999999999998e+01
1.560100000000000098e-01 3.897039999999999793e+01
1.567099999999999882e-01 3.920870000000000033e+01
1.585600000000000065e-01 3.907939999999999969e+01
1.592099999999999904e-01 3.942669999999999675e+01
1.593100000000000072e-01 3.895029999999999859e+01
1.594800000000000106e-01 3.909080000000000155e+01
1.600399999999999878e-01 3.904279999999999973e+01
1.600800000000000001e-01 3.922860000000000014e+01
1.605300000000000060e-01 3.920570000000000022e+01
1.606100000000000028e-01 3.942419999999999902e+01
1.607699999999999962e-01 3.921620000000000061e+01
1.612200000000000022e-01 3.931060000000000088e+01
1.623600000000000043e-01 3.932520000000000238e+01
1.637500000000000067e-01 3.928070000000000306e+01
1.644799999999999873e-01 3.926339999999999719e+01
1.647099999999999953e-01 3.932930000000000348e+01
1.649500000000000133e-01 3.931819999999999737e+01
1.660300000000000109e-01 3.949380000000000024e+01
1.660600000000000132e-01 3.918169999999999931e+01
1.682800000000000129e-01 3.927570000000000050e+01
1.692400000000000015e-01 3.951550000000000296e+01
1.697099999999999997e-01 3.967210000000000036e+01
1.704199999999999882e-01 3.947420000000000329e+01
1.712400000000000033e-01 3.954240000000000066e+01
1.716900000000000093e-01 3.946029999999999660e+01
1.725599999999999912e-01 3.950209999999999866e+01
1.726999999999999924e-01 3.926760000000000161e+01
1.729700000000000126e-01 3.972630000000000194e+01
1.733099999999999918e-01 3.938709999999999667e+01
1.737400000000000055e-01 3.954030000000000200e+01
1.737799999999999900e-01 3.934929999999999950e+01
1.739199999999999913e-01 3.959859999999999758e+01
1.741699999999999915e-01 3.957339999999999947e+01
1.741999999999999937e-01 3.933169999999999789e+01
1.743800000000000072e-01 3.950529999999999831e+01
1.744300000000000017e-01 3.955460000000000065e+01
1.744400000000000117e-01 3.948490000000000322e+01
1.749799999999999967e-01 3.974340000000000117e+01
1.766600000000000115e-01 3.951639999999999731e+01
1.771300000000000097e-01 3.950950000000000273e+01
1.773699999999999999e-01 3.947710000000000008e+01
1.778599999999999903e-01 3.933939999999999770e+01
1.779100000000000126e-01 3.964770000000000039e+01
1.785200000000000120e-01 3.996690000000000254e+01
1.790100000000000025e-01 3.964099999999999824e+01
1.791099999999999914e-01 3.976720000000000255e+01
1.793099999999999972e-01 3.953549999999999898e+01
1.795200000000000129e-01 3.955089999999999861e+01
1.797300000000000009e-01 3.955190000000000339e+01
1.797499999999999931e-01 3.959620000000000317e+01
1.800400000000000056e-01 3.999790000000000134e+01
1.804999999999999938e-01 3.936880000000000024e+01
1.807300000000000018e-01 3.950350000000000250e+01
1.807799999999999963e-01 3.971659999999999968e+01
1.808200000000000085e-01 3.963909999999999911e+01
1.808599999999999930e-01 3.961509999999999820e+01
1.809199999999999975e-01 3.962129999999999797e+01
1.812600000000000044e-01 3.965849999999999653e+01
1.813599999999999934e-01 3.948680000000000234e+01
1.814500000000000002e-01 3.939529999999999887e+01
1.821699999999999986e-01 3.958630000000000138e+01
1.822900000000000076e-01 3.952590000000000003e+01
1.823099999999999998e-01 3.968849999999999767e+01
1.825199999999999878e-01 3.978209999999999980e+01
1.836000000000000132e-01 3.959949999999999903e+01
1.837499999999999967e-01 3.967999999999999972e+01
1.838899999999999979e-01 3.975200000000000244e+01
1.840199999999999891e-01 3.979599999999999937e+01
1.845799999999999941e-01 3.993840000000000146e+01
1.845900000000000041e-01 3.978909999999999769e+01
1.848400000000000043e-01 3.965480000000000160e+01
1.849300000000000110e-01 3.961299999999999955e+01
1.850600000000000023e-01 3.974349999999999739e+01
1.851500000000000090e-01 3.963470000000000226e+01
1.852199999999999958e-01 3.954270000000000351e+01
1.852699999999999902e-01 3.978820000000000334e+01
1.866700000000000026e-01 3.975589999999999691e+01
1.872800000000000020e-01 3.976939999999999742e+01
1.880900000000000072e-01 3.974510000000000076e+01
1.890600000000000058e-01 3.943840000000000146e+01
1.890799999999999981e-01 3.980890000000000128e+01
1.892900000000000138e-01 3.993589999999999662e+01
1.892900000000000138e-01 4.014079999999999870e+01
1.894800000000000095e-01 3.974130000000000251e+01
1.895199999999999940e-01 3.976239999999999952e+01
1.899500000000000077e-01 3.972860000000000014e+01
1.902500000000000024e-01 3.988069999999999737e+01
1.904200000000000059e-01 3.968919999999999959e+01
1.904399999999999982e-01 3.991819999999999879e+01
1.941299999999999970e-01 3.979829999999999757e+01
1.943400000000000127e-01 3.987870000000000203e+01
1.954599999999999949e-01 4.013430000000000319e+01
1.955300000000000094e-01 3.971110000000000184e+01
1.955699999999999938e-01 3.990820000000000078e+01
1.956799999999999928e-01 3.995799999999999841e+01
1.961600000000000010e-01 3.972879999999999967e+01
1.962099999999999955e-01 3.977470000000000283e+01
1.962700000000000000e-01 3.983970000000000056e+01
1.963499999999999968e-01 3.989269999999999783e+01
